method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.3520462914927432,0.1127361357106724,0.7589944041382154,3000,12000,0.0615367889404296
rolling_1,4,0.5801132430297076,0.1713588269775236,0.6009299086728942,3000,3000,0.0122261047363281
rolling_3,4,0.3818252338106818,0.122244240485711,0.726445607602093,3000,9000,0.0373072624206543
rolling_7,4,0.3520462914927432,0.1127361357106724,0.7589944041382154,3000,12000,0.0368208885192871
rolling_14,4,0.3520462914927432,0.1127361357106724,0.7589944041382154,3000,12000,0.0330290794372558
decay_hl1,4,0.3903453433102083,0.1233908283471338,0.7286351142801177,3000,12000,0.023745059967041
decay_hl3,4,0.357333731023187,0.1137908558110607,0.7554944345277504,3000,12000,0.0284078121185302
decay_hl7,4,0.3529237136519653,0.1127765373212893,0.7582667191991377,3000,12000,0.0323467254638671
expanding,5,0.3445064130504619,0.1096171238005353,0.7640695796151797,3000,15000,0.0417089462280273
rolling_1,5,0.60484280400009,0.1780432694108695,0.562477124314477,3000,3000,0.0073733329772949
rolling_3,5,0.3762830314316269,0.1206611905745564,0.7265246905544354,3000,9000,0.0286741256713867
rolling_7,5,0.3445064130504619,0.1096171238005353,0.7640695796151797,3000,15000,0.041475772857666
rolling_14,5,0.3445064130504619,0.1096171238005353,0.7640695796151797,3000,15000,0.0417630672454834
decay_hl1,5,0.3946619511545642,0.1249498814176313,0.7201719652029466,3000,15000,0.0268511772155761
decay_hl3,5,0.3534023527566552,0.1120647418803186,0.7585647395168938,3000,15000,0.0348269939422607
decay_hl7,5,0.3466584477034855,0.1102574918017826,0.7629167236826778,3000,15000,0.0381226539611816
expanding,6,0.3312504898495763,0.1048091580142593,0.8139219160984384,3000,18000,0.0514049530029296
rolling_1,6,0.6071593931449962,0.173985252016567,0.5873613274830889,3000,3000,0.0072596073150634
rolling_3,6,0.382768741873161,0.1230126811532464,0.7495122273822323,3000,9000,0.0264384746551513
rolling_7,6,0.3312504898495763,0.1048091580142593,0.8139219160984384,3000,18000,0.0499155521392822
rolling_14,6,0.3312504898495763,0.1048091580142593,0.8139219160984384,3000,18000,0.0518603324890136
decay_hl1,6,0.4107086449844883,0.130723110234929,0.7485026924108897,3000,18000,0.0325007438659668
decay_hl3,6,0.3505062778284549,0.1103221001988137,0.8035547261909683,3000,18000,0.0401649475097656
decay_hl7,6,0.3371465403951527,0.1063444876798977,0.8120170012083682,3000,18000,0.0414636135101318
expanding,7,0.3390531281598911,0.1069196812954226,0.7871212198840482,3000,21000,0.0572772026062011
rolling_1,7,0.5930446928969549,0.1730926507630874,0.570544900220647,3000,3000,0.0073499679565429
rolling_3,7,0.3885213220729586,0.1248021653088207,0.7191947186706429,3000,9000,0.0267210006713867
rolling_7,7,0.3390531281598911,0.1069196812954226,0.7871212198840482,3000,21000,0.0550363063812255
rolling_14,7,0.3390531281598911,0.1069196812954226,0.7871212198840482,3000,21000,0.05723237991333
decay_hl1,7,0.4160669186441099,0.132416667659003,0.7209336747089483,3000,21000,0.0384495258331298
decay_hl3,7,0.3576290626626744,0.1127479230348803,0.7767403732891031,3000,21000,0.0441985130310058
decay_hl7,7,0.3450593179834098,0.1088939799879703,0.7854106055410848,3000,21000,0.0477843284606933
expanding,8,0.341472867768713,0.1078795326532897,0.7918872712594247,3000,24000,0.0619473457336425
rolling_1,8,0.6402123134357735,0.1893955635678691,0.5578970157211453,3000,3000,0.007897138595581
rolling_3,8,0.4009434120426194,0.1300089335419719,0.7167953703601566,3000,9000,0.0276730060577392
rolling_7,8,0.3457025211012699,0.1096863509821697,0.7865019771547025,3000,21000,0.0544824600219726
rolling_14,8,0.341472867768713,0.1078795326532897,0.7918872712594247,3000,24000,0.0625820159912109
