regime,ablation,method,log_loss,se,n_seeds
s0_none,A0 expanding only,expanding,0.32703213426206446,0.0038260971897643866,12
s0_none,A1 no persistence (beta=0),amgtp_fixed_beta0,0.32818811358250694,0.003818350075719618,12
s0_none,A2 fixed low persistence,m5b_smooth0.001,0.3281700681025004,0.0038176671141201307,12
s0_none,A3 fixed high persistence,m5b_smooth0.1,0.3284759629194652,0.003726434667156662,12
s0_none,"A4 adaptive beta, global q",amgtp_global_q,0.3299080994519115,0.0037999194647964653,12
s0_none,"A5 adaptive beta, uniform q",amgtp_uniform_q,0.3563905313999449,0.004009286435471317,12
s0_none,A6 full AMG-TP,amgtp,0.32927732998363074,0.003813240419376752,12
s0_none,"A7 adaptive beta, no state feats",amgtp_no_state,0.32936140576269385,0.003815378806117384,12
s0_none,A8a 2-expert gate (M2),m2_context_gate,0.3280648847758287,0.0038260214435988497,12
s0_none,A8b 5-expert gate (M5b),m5b_smooth0.001,0.3281700681025004,0.0038176671141201307,12
s0_none,A9 static uniform-5,uniform5,0.3563905338307591,0.00400928648191698,12
s0_none,A10 nonlinear persistence net (h=8),amgtp_hidden8,0.3294300759911006,0.003814805509156737,12
s0_none,A10 nonlinear persistence net (h=16),amgtp_hidden16,0.32943010229663466,0.0038148082300066568,12
s0_none,A11 per-example beta_t(x),amgtp_bx,,,0
s0_none,"A11 per-example beta_t(x), no var penalty",amgtp_bx_var0,,,0
s0_none,"A12 per-example beta_t(x), var penalty -> global",amgtp_bx_varhi,,,0
s0_none,"A13 per-example beta_t(x), nonlinear g_xi",amgtp_bx_h8,,,0
s1_abrupt,A0 expanding only,expanding,0.5376306287325131,0.0036974739649522506,12
s1_abrupt,A1 no persistence (beta=0),amgtp_fixed_beta0,0.3382423265414373,0.0015684347629311784,12
s1_abrupt,A2 fixed low persistence,m5b_smooth0.001,0.3382131486790787,0.0015622114314935228,12
s1_abrupt,A3 fixed high persistence,m5b_smooth0.1,0.3467151025168003,0.0017853450284373562,12
s1_abrupt,"A4 adaptive beta, global q",amgtp_global_q,0.3400552285175274,0.001541486884175821,12
s1_abrupt,"A5 adaptive beta, uniform q",amgtp_uniform_q,0.3816595018437395,0.0018795077882657917,12
s1_abrupt,A6 full AMG-TP,amgtp,0.33893319373566194,0.0015595228086774187,12
s1_abrupt,"A7 adaptive beta, no state feats",amgtp_no_state,0.33876271141751024,0.0015527901817805347,12
s1_abrupt,A8a 2-expert gate (M2),m2_context_gate,0.39834604709705307,0.0018438924485429352,12
s1_abrupt,A8b 5-expert gate (M5b),m5b_smooth0.001,0.3382131486790787,0.0015622114314935228,12
