method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.425250909711747,0.1364287831648935,0.6967357439218532,3000,12000,0.0617389678955078
rolling_1,4,0.620895221261489,0.1838148740391737,0.5743644732544927,3000,3000,0.0121517181396484
rolling_3,4,0.4144038694482799,0.1323289324540572,0.7129562545299439,3000,9000,0.0303592681884765
rolling_7,4,0.425250909711747,0.1364287831648935,0.6967357439218532,3000,12000,0.0454611778259277
rolling_14,4,0.425250909711747,0.1364287831648935,0.6967357439218532,3000,12000,0.0469238758087158
decay_hl1,4,0.4229859922496571,0.1362907262263714,0.7108350557631461,3000,12000,0.0293130874633789
decay_hl3,4,0.4106931802143053,0.1322959685005408,0.7139650982222265,3000,12000,0.0377078056335449
decay_hl7,4,0.4164972562198171,0.1339962052739394,0.7059456620540184,3000,12000,0.0386795997619628
expanding,5,0.3925291627515822,0.1267225542413526,0.6941471349945973,3000,15000,0.0521419048309326
rolling_1,5,0.6367482232140764,0.1862655035923855,0.5277944539855464,3000,3000,0.0091030597686767
rolling_3,5,0.4175964250051195,0.134008304106496,0.6728332191109255,3000,9000,0.0440764427185058
rolling_7,5,0.3925291627515822,0.1267225542413526,0.6941471349945973,3000,15000,0.046706199645996
rolling_14,5,0.3925291627515822,0.1267225542413526,0.6941471349945973,3000,15000,0.0468325614929199
decay_hl1,5,0.419689800471421,0.1342241985681825,0.6698693984326144,3000,15000,0.0285346508026123
decay_hl3,5,0.3908598997050338,0.1254589413255921,0.6986153602647409,3000,15000,0.0416836738586425
decay_hl7,5,0.3895079220923491,0.1254678123780259,0.6981733404598203,3000,15000,0.0506157875061035
expanding,6,0.388531596066194,0.1253013431219426,0.670514026152292,3000,18000,0.058384895324707
rolling_1,6,0.6607611107272712,0.1885781511245662,0.4798694882927448,3000,3000,0.0071179866790771
rolling_3,6,0.4756906945398793,0.1512686037585814,0.5821318318394016,3000,9000,0.0291278362274169
rolling_7,6,0.388531596066194,0.1253013431219426,0.670514026152292,3000,18000,0.0498449802398681
rolling_14,6,0.388531596066194,0.1253013431219426,0.670514026152292,3000,18000,0.0498683452606201
decay_hl1,6,0.4302732872894293,0.1375120719790186,0.6051121895839571,3000,18000,0.0306754112243652
decay_hl3,6,0.3975635242498918,0.1275174541758834,0.6551688383085761,3000,18000,0.0427899360656738
decay_hl7,6,0.3907502053487731,0.1257132459830608,0.6658796098519211,3000,18000,0.0475983619689941
expanding,7,0.4649116044629421,0.150154141451173,0.5297166317968192,3000,21000,0.0588428974151611
rolling_1,7,0.768306297988301,0.2078570779490368,0.4036338738982682,3000,3000,0.0070729255676269
rolling_3,7,0.543269801172249,0.1719066479225383,0.4678718437829416,3000,9000,0.0328385829925537
rolling_7,7,0.4649116044629421,0.150154141451173,0.5297166317968192,3000,21000,0.0587308406829834
rolling_14,7,0.4649116044629421,0.150154141451173,0.5297166317968192,3000,21000,0.0589747428894043
decay_hl1,7,0.468077869293904,0.1518114226722729,0.4779254056473292,3000,21000,0.0360825061798095
decay_hl3,7,0.4591108106137106,0.1492060108338979,0.5120200088621124,3000,21000,0.0448336601257324
decay_hl7,7,0.4616383348072053,0.1497470309946192,0.5226006051487762,3000,21000,0.047682762145996
expanding,8,0.5262202768017261,0.1694517145539839,0.4087631760156992,3000,24000,0.0636003017425537
rolling_1,8,0.7562675484293113,0.2053404748880307,0.3652902784016857,3000,3000,0.0071310997009277
rolling_3,8,0.5626881787505126,0.1779426354783156,0.4002002574642183,3000,9000,0.036330223083496
rolling_7,8,0.5606360938402303,0.180204962615524,0.3788297866806422,3000,21000,0.0587451457977294
rolling_14,8,0.5262202768017261,0.1694517145539839,0.4087631760156992,3000,24000,0.0636825561523437
decay_hl1,8,0.4747384445550459,0.1541783845799431,0.4190130915654753,3000,24000,0.0407938957214355
decay_hl3,8,0.4955235761999317,0.1621801066825677,0.4064164295167831,3000,24000,0.0508935451507568
decay_hl7,8,0.5115622288269179,0.1664234002912448,0.4049146337029779,3000,24000,0.0543162822723388
expanding,9,0.5869268628587935,0.1891976965129889,0.3936504172697308,3000,27000,0.0680103302001953
rolling_1,9,0.6928353854027943,0.1926123697329924,0.4702666909726579,3000,3000,0.0071089267730712
rolling_3,9,0.5265230645098475,0.1657283378403949,0.5032871491221551,3000,9000,0.0339775085449218
rolling_7,9,0.6121018912110051,0.1962240069212808,0.3709108499054221,3000,21000,0.0589938163757324
rolling_14,9,0.5869268628587935,0.1891976965129889,0.3936504172697308,3000,27000,0.0679647922515869
decay_hl1,9,0.4781713011775088,0.1562153516899831,0.525053941138504,3000,27000,0.0385205745697021
decay_hl3,9,0.5153448366963758,0.1690995630297233,0.4418442325295071,3000,27000,0.0539784431457519
decay_hl7,9,0.550472708292141,0.1795323810989345,0.4109514025055744,3000,27000,0.0639460086822509
expanding,10,0.5716627987855549,0.184457728938133,0.4411118446920066,3000,30000,0.0746102333068847
rolling_1,10,0.616355426050229,0.1745404502733202,0.5506810431516751,3000,3000,0.0071346759796142
rolling_3,10,0.4673824121281019,0.1488866753625291,0.6103076393333989,3000,9000,0.0338985919952392
rolling_7,10,0.5717803303183149,0.1843665426261049,0.4443994783670385,3000,21000,0.0643761157989502
rolling_14,10,0.5716627987855549,0.184457728938133,0.4411118446920066,3000,30000,0.073383092880249
decay_hl1,10,0.46521808591941,0.1515364296122983,0.6136466499813203,3000,30000,0.045367956161499
decay_hl3,10,0.4899987251088492,0.1607249029576436,0.5227620360919419,3000,30000,0.0583188533782959
decay_hl7,10,0.5288953837112964,0.1728402016627878,0.4735943714596588,3000,30000,0.0693857669830322
expanding,11,0.5530562297675407,0.1797023161907075,0.4788110111731783,3000,33000,0.0816957950592041
rolling_1,11,0.6204782925771012,0.1804712307024623,0.5577715003596964,3000,3000,0.0071601867675781
rolling_3,11,0.4186801408922697,0.1343462038056024,0.6939004599317433,3000,9000,0.0326881408691406
rolling_7,11,0.5043752413095183,0.1647675767332274,0.5450436352432706,3000,21000,0.0616922378540039
rolling_14,11,0.5530562297675407,0.1797023161907075,0.4788110111731783,3000,33000,0.0817029476165771
decay_hl1,11,0.4587892981023774,0.1483489266769978,0.6834832716417483,3000,33000,0.0461914539337158
decay_hl3,11,0.4621723593138181,0.1505406597920395,0.6164935825798226,3000,33000,0.0638351440429687
decay_hl7,11,0.5022332526399456,0.1643952612777351,0.5395251113681998,3000,33000,0.0642290115356445
expanding,12,0.491828072053048,0.1616005516930705,0.5260823507838938,3000,36000,0.088824987411499
rolling_1,12,0.6227497727102217,0.1801516001200298,0.5454625866086241,3000,3000,0.0071372985839843
rolling_3,12,0.3994188034271905,0.12782656997014,0.7060316603353894,3000,9000,0.0302212238311767
rolling_7,12,0.4189136348373952,0.1358691160147838,0.657939814961163,3000,21000,0.0613150596618652
rolling_14,12,0.491828072053048,0.1616005516930705,0.5260823507838938,3000,36000,0.0874192714691162
decay_hl1,12,0.4492880345930689,0.144273421448124,0.689330569165021,3000,36000,0.0403022766113281
decay_hl3,12,0.4215243273542755,0.1352610019797096,0.6844559662998604,3000,36000,0.0684089660644531
decay_hl7,12,0.4478664533901195,0.1460228625445653,0.6027578524883453,3000,36000,0.0733175277709961
expanding,13,0.4069938452757727,0.1302265348160943,0.6138148726227073,3000,39000,0.0903217792510986
rolling_1,13,0.6400773538580351,0.1863803643184491,0.4783865981475386,3000,3000,0.007129430770874
rolling_3,13,0.4329756333367622,0.1398651463152266,0.6006015544669262,3000,9000,0.0290539264678955
rolling_7,13,0.3715802320092279,0.1180352081009175,0.6732646708420237,3000,21000,0.0587177276611328
rolling_14,13,0.4069938452757727,0.1302265348160943,0.6138148726227073,3000,39000,0.088470458984375
decay_hl1,13,0.4429375589993912,0.140426383394665,0.5926949003432522,3000,39000,0.0524630546569824
decay_hl3,13,0.3934389381593597,0.1231920475291636,0.6753011095788465,3000,39000,0.0680122375488281
decay_hl7,13,0.3910591062519594,0.1230875121910635,0.66350113344458,3000,39000,0.0781416893005371
expanding,14,0.394018260994852,0.1246003047116973,0.6698913959196506,3000,42000,0.0915243625640869
rolling_1,14,0.7673965091440168,0.2109159503041722,0.4038385053711876,3000,3000,0.0071401596069335
rolling_3,14,0.5368037717961195,0.1694743893702233,0.4995845636867639,3000,9000,0.0340569019317626
rolling_7,14,0.4601102510635044,0.1475334909496064,0.5568921151899755,3000,21000,0.0562179088592529
rolling_14,14,0.394018260994852,0.1246003047116973,0.6698913959196506,3000,42000,0.0944807529449462
decay_hl1,14,0.4801162838980009,0.1557001278366865,0.5075347760282576,3000,42000,0.050337791442871
decay_hl3,14,0.4314544327899474,0.1380705192688922,0.6007503665957014,3000,42000,0.0692982673645019
decay_hl7,14,0.4060605923953229,0.1286293677249946,0.6518694189260943,3000,42000,0.0859076976776123
expanding,15,0.4032596638534952,0.1276513680153306,0.6665443459650271,3000,45000,0.099212646484375
rolling_1,15,0.7334266347327897,0.1992988831600743,0.4567715158296377,3000,3000,0.0068676471710205
rolling_3,15,0.5791871185090245,0.1787138412235584,0.4697950938221267,3000,9000,0.0328705310821533
rolling_7,15,0.5839714291695141,0.1846111811751223,0.427765164757712,3000,21000,0.0561461448669433
rolling_14,15,0.4061634810266613,0.1288851839371741,0.6576717231253218,3000,42000,0.0970709323883056
decay_hl1,15,0.4998060604668282,0.1633112758165329,0.4886255608921132,3000,45000,0.0547478199005126
decay_hl3,15,0.475016509729579,0.154126838396103,0.5273095752736858,3000,45000,0.0628924369812011
decay_hl7,15,0.4393852382064351,0.1409272402870301,0.6005163638598189,3000,45000,0.0810079574584961
expanding,16,0.4799071237709002,0.1597173861880012,0.5869202930214334,3000,48000,0.0986852645874023
rolling_1,16,0.7107249100457654,0.1970376350384576,0.5214087836573812,3000,3000,0.0064063072204589
rolling_3,16,0.5930347410565141,0.188802090657238,0.5084746909109029,3000,9000,0.0352206230163574
rolling_7,16,0.691904767457606,0.2223492566737267,0.3802157287675919,3000,21000,0.0591046810150146
rolling_14,16,0.4853298158555965,0.1615281153265333,0.5731825440892754,3000,42000,0.0970294475555419
decay_hl1,16,0.5243091582767034,0.1751171004200064,0.5402373214590237,3000,48000,0.0578796863555908
decay_hl3,16,0.5317684057937667,0.1785486302178636,0.4839254363976644,3000,48000,0.0661725997924804
decay_hl7,16,0.5123112836187408,0.1715093271219248,0.5227433957298062,3000,48000,0.0851569175720214
expanding,17,0.4644529880841175,0.1524252899224998,0.6207847372853843,3000,51000,0.1029553413391113
rolling_1,17,0.6514617461933088,0.1875872752355283,0.5676040190713161,3000,3000,0.0068769454956054
rolling_3,17,0.4628061667487275,0.1490768021135808,0.6440493129902829,3000,9000,0.0326755046844482
rolling_7,17,0.5914306630674657,0.1925461391609269,0.4605799912722529,3000,21000,0.0643599033355712
rolling_14,17,0.4892522549042716,0.1610807949378939,0.5829166829904118,3000,42000,0.0969486236572265
decay_hl1,17,0.5002337831453015,0.1649119274246166,0.6406190859479421,3000,51000,0.0547640323638916
decay_hl3,17,0.4922174016526789,0.1628128987423356,0.580313742214297,3000,51000,0.0700595378875732
decay_hl7,17,0.4865127463245615,0.1606168885892739,0.5828527933251496,3000,51000,0.0901486873626709
expanding,18,0.4418808044582002,0.1441186165566226,0.6771610845697962,3000,54000,0.1145739555358886
rolling_1,18,0.6296129065963048,0.181198616084301,0.5853648621558263,3000,3000,0.0069096088409423
rolling_3,18,0.4067676339709803,0.1308062374557993,0.7257076392539992,3000,9000,0.030592918395996
rolling_7,18,0.4988319056677271,0.1637163064388491,0.5882441651695224,3000,21000,0.0613882541656494
rolling_14,18,0.4796613161484621,0.1575093619757614,0.6115224455485677,3000,42000,0.1000339984893798
decay_hl1,18,0.485835523025052,0.1582806294377559,0.7006002570797903,3000,54000,0.0586152076721191
decay_hl3,18,0.4594117443843977,0.1496491413272597,0.6749639031297779,3000,54000,0.0751445293426513
decay_hl7,18,0.4567028774904771,0.1493143428933813,0.6567496800229742,3000,54000,0.0969233512878418
expanding,19,0.4116349417608569,0.1329736869258697,0.6838204355719417,3000,57000,0.1130869388580322
rolling_1,19,0.6105783310875916,0.1805220977588533,0.5686550852632835,3000,3000,0.006913423538208
rolling_3,19,0.3873272479524586,0.1227396144647263,0.7284821079891517,3000,9000,0.0294094085693359
rolling_7,19,0.4106203130156846,0.133005638008006,0.6803740105991039,3000,21000,0.0643484592437744
rolling_14,19,0.4515429087725617,0.1482167072564885,0.600930693498783,3000,42000,0.0984880924224853
decay_hl1,19,0.473053781487891,0.1517283478086935,0.70761148655374,3000,57000,0.063086986541748
decay_hl3,19,0.4254271384894437,0.1348903870369391,0.7287199373265986,3000,57000,0.0935354232788086
decay_hl7,19,0.4203179582393368,0.134830475528474,0.6904143368654132,3000,57000,0.0932693481445312
expanding,20,0.3697093516274385,0.1157894046059088,0.6572664759111813,3000,60000,0.1199731826782226
rolling_1,20,0.6492695084307462,0.1857621338038162,0.4454225564350206,3000,3000,0.0063750743865966
rolling_3,20,0.4505999251375913,0.1430072512780658,0.5617976874592658,3000,9000,0.0305755138397216
rolling_7,20,0.3798129806336571,0.1205957914676076,0.6293840266162251,3000,21000,0.0586798191070556
rolling_14,20,0.3891872741006004,0.1230499915043381,0.6119084246357333,3000,42000,0.0984187126159668
decay_hl1,20,0.4579595116491577,0.1445899974799329,0.5635851800683382,3000,60000,0.0668189525604248
decay_hl3,20,0.4010692186253216,0.1247666653665063,0.6466830124795833,3000,60000,0.0850062370300293
decay_hl7,20,0.3821005800492097,0.1187116274975324,0.6597504311315333,3000,60000,0.1078567504882812
expanding,21,0.3857820180839426,0.1217441848128131,0.6590131756095223,3000,63000,0.1187551021575927
rolling_1,21,0.7374802396852614,0.202668824702412,0.3881777272855773,3000,3000,0.0068776607513427
rolling_3,21,0.5444364441331832,0.1710474590660033,0.4710648901105239,3000,9000,0.0305867195129394
rolling_7,21,0.4595994719314524,0.1478781626963627,0.5285568066518714,3000,21000,0.0587790012359619
rolling_14,21,0.3857176559532998,0.1216920246550095,0.6601850663500832,3000,42000,0.0984899997711181
decay_hl1,21,0.4825077050606897,0.1555025049115677,0.4743395323381223,3000,63000,0.0703709125518798
decay_hl3,21,0.4333119056094042,0.1379745165855166,0.5729485878036369,3000,63000,0.0812125205993652
decay_hl7,21,0.4039822106826091,0.1275319812733799,0.634425216015454,3000,63000,0.098729133605957
expanding,22,0.4381405626249481,0.1422001368813486,0.5688132415608975,3000,66000,0.1237056255340576
rolling_1,22,0.7177937732634506,0.1935465815333837,0.4536604662223985,3000,3000,0.0068545341491699
rolling_3,22,0.5634307714740767,0.1745596307402759,0.4754199083122672,3000,9000,0.0317137241363525
rolling_7,22,0.5701842458175307,0.181916920673981,0.4318929316855965,3000,21000,0.0588297843933105
rolling_14,22,0.4149003994427776,0.1333356789895818,0.6227203800843915,3000,42000,0.0984888076782226
decay_hl1,22,0.4976148295912197,0.1619605518379869,0.4972431278129922,3000,66000,0.0742096900939941
decay_hl3,22,0.4694933217749897,0.1521977956505064,0.5152602486665617,3000,66000,0.0848846435546875
decay_hl7,22,0.4474742429355419,0.1449023956408899,0.5547753095162061,3000,66000,0.1044979095458984
expanding,23,0.495137227497466,0.1607602610032396,0.5266955767689154,3000,69000,0.1302113533020019
rolling_1,23,0.7145630418052412,0.1952805084929252,0.4939275087123808,3000,3000,0.0069141387939453
rolling_3,23,0.5434307385065127,0.1696144005215795,0.5389385749065114,3000,9000,0.0342457294464111
rolling_7,23,0.6397233618418833,0.2018672183053634,0.3890024544148769,3000,21000,0.0587413311004638
rolling_14,23,0.4564950054300383,0.1475643686789296,0.5946745815774763,3000,42000,0.0985395908355712
decay_hl1,23,0.5142420009623113,0.1693365844717548,0.5398441623995925,3000,69000,0.0775229930877685
decay_hl3,23,0.5026360050636068,0.1647525518070993,0.5029073157329846,3000,69000,0.0887353420257568
decay_hl7,23,0.491854706578218,0.1605179918042834,0.5220200344712198,3000,69000,0.1065864562988281
expanding,24,0.4942218541775965,0.1606150105536518,0.5254166995858147,3000,72000,0.1334102153778076
rolling_1,24,0.6520118661750781,0.1870245473934761,0.5081945176331077,3000,3000,0.0068395137786865
rolling_3,24,0.4619719591310571,0.1448488849412487,0.6352684421476018,3000,9000,0.0328516960144043
rolling_7,24,0.5633806318544211,0.1803793325404497,0.4576645881291115,3000,21000,0.0640733242034912
rolling_14,24,0.4647905725470924,0.1503738518535007,0.5766446726595703,3000,42000,0.0928962230682373
decay_hl1,24,0.4984577375643844,0.1627159800594826,0.6195032547173359,3000,72000,0.0806155204772949
decay_hl3,24,0.4782263172488122,0.1552590678262444,0.5709673410081193,3000,72000,0.0925416946411132
decay_hl7,24,0.4777684137942954,0.1553076277720359,0.549391734786995,3000,72000,0.1009538173675537
expanding,25,0.4917700637467139,0.1620521941713467,0.5631238201045727,3000,75000,0.1400539875030517
rolling_1,25,0.6509929055009533,0.1896093053335285,0.5438214689359744,3000,3000,0.0068533420562744
rolling_3,25,0.4246748988988561,0.137254800575981,0.6822698621902695,3000,9000,0.030402660369873
rolling_7,25,0.5099994866357642,0.1667654631338339,0.5484800872703794,3000,21000,0.0612688064575195
rolling_14,25,0.4806755229184586,0.1579511164848006,0.581949295753596,3000,42000,0.0930500030517578
decay_hl1,25,0.5046811434070394,0.1658814788849983,0.6536056545191974,3000,75000,0.086571455001831
decay_hl3,25,0.4739367978500652,0.1551215760653197,0.6252225320575591,3000,75000,0.1060297489166259
decay_hl7,25,0.4735561052635186,0.1556139125186846,0.5954138559437803,3000,75000,0.1055934429168701
expanding,26,0.4715049114779608,0.1536353987600542,0.5548330613983676,3000,78000,0.1441919803619384
rolling_1,26,0.6674471868607783,0.1943178758176131,0.5018604050293713,3000,3000,0.0064256191253662
rolling_3,26,0.4300553992468396,0.136818380000135,0.6657434073055825,3000,9000,0.0292391777038574
rolling_7,26,0.4415198752580784,0.1427168799049278,0.615724463380638,3000,21000,0.0641980171203613
rolling_14,26,0.4698220757643307,0.1530311673430914,0.5587356062410629,3000,42000,0.0945353507995605
decay_hl1,26,0.4946410501362952,0.1604911706146719,0.6339716863682511,3000,78000,0.0997378826141357
decay_hl3,26,0.4513840220857817,0.1450503626811796,0.6491020147714225,3000,78000,0.1080334186553955
decay_hl7,26,0.4494693337871528,0.1453866168284521,0.6074819856139768,3000,78000,0.1086707115173339
expanding,27,0.3935163694372641,0.1250610606361278,0.6548219433926956,3000,81000,0.1491641998291015
rolling_1,27,0.6605928306896278,0.1875055199211364,0.4823484279181777,3000,3000,0.0069048404693603
rolling_3,27,0.4333216555777148,0.1388418593294582,0.6169810457663708,3000,9000,0.0304203033447265
rolling_7,27,0.3812868414545944,0.1219637181230664,0.6694306282070236,3000,21000,0.0587813854217529
rolling_14,27,0.4033564587724271,0.1293750255389355,0.6288450696108915,3000,42000,0.09293794631958
decay_hl1,27,0.4809489833477989,0.154340183641529,0.6044121202756232,3000,81000,0.0933573246002197
decay_hl3,27,0.420366694376619,0.1322391789033232,0.6829440105160499,3000,81000,0.1029045581817627
decay_hl7,27,0.3977395608520156,0.12489281001127,0.6855819045927859,3000,81000,0.1215591430664062
expanding,28,0.3735107152991851,0.1170998904578871,0.6864394838404049,3000,84000,0.1447546482086181
rolling_1,28,0.7453167806986918,0.2027349206142933,0.3938589876897241,3000,3000,0.0069129467010498
rolling_3,28,0.5341649163078569,0.1678019430158514,0.4692379947062717,3000,9000,0.0340931415557861
rolling_7,28,0.43921035512412,0.141579696916045,0.5467793541382379,3000,21000,0.0584771633148193
rolling_14,28,0.3787454147986491,0.119744679348577,0.6635237868325906,3000,42000,0.094301700592041
decay_hl1,28,0.490987709407782,0.1583742568573265,0.4757601710923553,3000,84000,0.0858113765716552
decay_hl3,28,0.4355710757417337,0.1383431570799863,0.5824556247353812,3000,84000,0.1078343391418457
decay_hl7,28,0.3992173539944961,0.1252729183038199,0.6558400359175547,3000,84000,0.1161031723022461
expanding,29,0.3814072808798648,0.1199743710706288,0.6775412463641771,3000,87000,0.1493318080902099
rolling_1,29,0.7015219220372458,0.1896251836527352,0.4440288877053661,3000,3000,0.0068976879119873
rolling_3,29,0.5667097852639752,0.1769617641912136,0.4361948661499918,3000,9000,0.0315065383911132
rolling_7,29,0.5606044171478264,0.1779634996196547,0.4207694829271758,3000,21000,0.0584397315979003
rolling_14,29,0.3921415016319611,0.1239377139431279,0.6530984297873517,3000,42000,0.1002349853515625
decay_hl1,29,0.4960690753067072,0.1607520032711981,0.4837279179660091,3000,87000,0.100198745727539
decay_hl3,29,0.4618847618847942,0.1486029193637486,0.5175898913127053,3000,87000,0.0993187427520752
decay_hl7,29,0.4250154188648498,0.1352728121678981,0.59616950970044,3000,87000,0.1290571689605713
expanding,30,0.4312633092173704,0.1390314729445752,0.6896757738839965,3000,90000,0.1540226936340332
rolling_1,30,0.6957440830510628,0.1954644972085116,0.5327464808049274,3000,3000,0.0069034099578857
rolling_3,30,0.5284198378071636,0.1643387775845574,0.5928489595930143,3000,9000,0.0356655120849609
rolling_7,30,0.6178006467058584,0.1989559276618467,0.4526159883489899,3000,21000,0.0612239837646484
rolling_14,30,0.4416041738824166,0.1430583489266412,0.665648831481486,3000,42000,0.0998477935791015
decay_hl1,30,0.5330380138265969,0.1778799045777043,0.597480478600915,3000,90000,0.0943090915679931
decay_hl3,30,0.5035356606461916,0.1664383060825824,0.5779363723619553,3000,90000,0.102628469467163
decay_hl7,30,0.4739606823537221,0.1551594508175939,0.6215239416123722,3000,90000,0.122892141342163
expanding,31,0.45463368854076,0.1494013315170828,0.6164498336808253,3000,93000,0.1472065448760986
rolling_1,31,0.6050025259845832,0.1770781063850809,0.5961243205983489,3000,3000,0.006441593170166
rolling_3,31,0.4474402799621163,0.1430567438025244,0.6631635837262649,3000,9000,0.0315272808074951
rolling_7,31,0.5758842346462719,0.1886401952157665,0.4513295749226926,3000,21000,0.061169147491455
rolling_14,31,0.4722143778477375,0.1555936875063826,0.5822332255318668,3000,42000,0.0994565486907959
decay_hl1,31,0.512533018108325,0.168692842225876,0.6595436177766842,3000,93000,0.1071505546569824
decay_hl3,31,0.4901415196332504,0.1615984186422005,0.5785790642239456,3000,93000,0.1061151027679443
decay_hl7,31,0.4798534564722984,0.1584335680522549,0.5715578196718619,3000,93000,0.1280419826507568
expanding,32,0.4485946144218565,0.1466617843860293,0.6323558186540211,3000,96000,0.151904821395874
rolling_1,32,0.5806536677084709,0.1728979706009837,0.5937101764888851,3000,3000,0.0068655014038085
rolling_3,32,0.3935081317856854,0.1261622081820853,0.733617234241228,3000,9000,0.031611680984497
rolling_7,32,0.4851383843227613,0.1580572837900559,0.5753310316382274,3000,21000,0.0610857009887695
rolling_14,32,0.4682092615695958,0.1530181165980197,0.5917027508752265,3000,42000,0.0924510955810546
decay_hl1,32,0.5034675622784096,0.1646085398508901,0.7125532329997635,3000,96000,0.1090283393859863
decay_hl3,32,0.4672374993541845,0.1520158908466012,0.6695919515928962,3000,96000,0.1077280044555664
decay_hl7,32,0.4608256911422924,0.1505043722916502,0.6269823084414272,3000,96000,0.1292395591735839
expanding,33,0.4102041267596605,0.1315342038775261,0.6750322791712503,3000,99000,0.1564996242523193
rolling_1,33,0.6079036414611615,0.1785407844115792,0.5609169558664304,3000,3000,0.0068714618682861
rolling_3,33,0.4109388553401553,0.1307886800246904,0.6855524576291803,3000,9000,0.0279955863952636
rolling_7,33,0.4037813367660057,0.1294690497746138,0.677366486216876,3000,21000,0.0612201690673828
rolling_14,33,0.4391817003723181,0.1424671241725866,0.6151690169740139,3000,42000,0.0927393436431884
decay_hl1,33,0.4971268514933326,0.1608202965755654,0.6731979722955379,3000,99000,0.1118297576904296
decay_hl3,33,0.4426043101262759,0.1407901440437173,0.7038459613249243,3000,99000,0.1109905242919921
decay_hl7,33,0.4254831214270064,0.1357348333856475,0.6817329163330096,3000,99000,0.1346352100372314
expanding,34,0.3896705098862261,0.1240476552361095,0.6766606954786074,3000,102000,0.1612992286682129
rolling_1,34,0.6803821568406659,0.1930673072674052,0.4696453886706666,3000,3000,0.00685715675354
rolling_3,34,0.4517841639433192,0.1453551080434263,0.6063171206237438,3000,9000,0.0317151546478271
rolling_7,34,0.3898598450871046,0.1249444777742083,0.6661198485979702,3000,21000,0.0586357116699218
rolling_14,34,0.4103734498814101,0.1322209708516304,0.6218581939168089,3000,42000,0.0927910804748535
decay_hl1,34,0.4958792856775902,0.1602454097903989,0.594962869707206,3000,102000,0.1151978969573974
decay_hl3,34,0.4370977929768055,0.1385423936753116,0.6687554706071092,3000,102000,0.1139595508575439
decay_hl7,34,0.4107243591767512,0.1298340872865752,0.6767261154382825,3000,102000,0.1381242275238037
expanding,35,0.3728436329889337,0.1160000857042044,0.6708160831230059,3000,105000,0.1661679744720459
rolling_1,35,0.7013789618228092,0.191786747788398,0.4031994563164474,3000,3000,0.006866455078125
