method,day,log_loss,brier,pr_auc,n,n_train,fit_time
expanding,4,0.425250909711747,0.1364287831648935,0.6967357439218532,3000,12000,0.0499906539916992
rolling_1,4,0.620895221261489,0.1838148740391737,0.5743644732544927,3000,3000,0.0078692436218261
rolling_3,4,0.4144038694482799,0.1323289324540572,0.7129562545299439,3000,9000,0.0278539657592773
rolling_7,4,0.425250909711747,0.1364287831648935,0.6967357439218532,3000,12000,0.0399830341339111
rolling_14,4,0.425250909711747,0.1364287831648935,0.6967357439218532,3000,12000,0.0398359298706054
decay_hl1,4,0.4229859922496571,0.1362907262263714,0.7108350557631461,3000,12000,0.0245468616485595
decay_hl3,4,0.4106931802143053,0.1322959685005408,0.7139650982222265,3000,12000,0.0327000617980957
decay_hl7,4,0.4164972562198171,0.1339962052739394,0.7059456620540184,3000,12000,0.0368599891662597
expanding,5,0.3925291627515822,0.1267225542413526,0.6941471349945973,3000,15000,0.0466101169586181
rolling_1,5,0.6367482232140764,0.1862655035923855,0.5277944539855464,3000,3000,0.0078701972961425
rolling_3,5,0.4175964250051195,0.134008304106496,0.6728332191109255,3000,9000,0.0302686691284179
rolling_7,5,0.3925291627515822,0.1267225542413526,0.6941471349945973,3000,15000,0.0456535816192626
rolling_14,5,0.3925291627515822,0.1267225542413526,0.6941471349945973,3000,15000,0.0446715354919433
decay_hl1,5,0.419689800471421,0.1342241985681825,0.6698693984326144,3000,15000,0.0281217098236084
decay_hl3,5,0.3908598997050338,0.1254589413255921,0.6986153602647409,3000,15000,0.0370998382568359
decay_hl7,5,0.3895079220923491,0.1254678123780259,0.6981733404598203,3000,15000,0.0401134490966796
expanding,6,0.388531596066194,0.1253013431219426,0.670514026152292,3000,18000,0.050459861755371
rolling_1,6,0.6607611107272712,0.1885781511245662,0.4798694882927448,3000,3000,0.0076010227203369
rolling_3,6,0.4756906945398793,0.1512686037585814,0.5821318318394016,3000,9000,0.026461124420166
rolling_7,6,0.388531596066194,0.1253013431219426,0.670514026152292,3000,18000,0.0502097606658935
rolling_14,6,0.388531596066194,0.1253013431219426,0.670514026152292,3000,18000,0.0511927604675293
decay_hl1,6,0.4302732872894293,0.1375120719790186,0.6051121895839571,3000,18000,0.0328845977783203
decay_hl3,6,0.3975635242498918,0.1275174541758834,0.6551688383085761,3000,18000,0.0443289279937744
decay_hl7,6,0.3907502053487731,0.1257132459830608,0.6658796098519211,3000,18000,0.0494859218597412
expanding,7,0.4649116044629421,0.150154141451173,0.5297166317968192,3000,21000,0.0600526332855224
rolling_1,7,0.768306297988301,0.2078570779490368,0.4036338738982682,3000,3000,0.0075874328613281
rolling_3,7,0.543269801172249,0.1719066479225383,0.4678718437829416,3000,9000,0.0297694206237792
rolling_7,7,0.4649116044629421,0.150154141451173,0.5297166317968192,3000,21000,0.0614159107208251
rolling_14,7,0.4649116044629421,0.150154141451173,0.5297166317968192,3000,21000,0.062166690826416
decay_hl1,7,0.468077869293904,0.1518114226722729,0.4779254056473292,3000,21000,0.0387167930603027
decay_hl3,7,0.4591108106137106,0.1492060108338979,0.5120200088621124,3000,21000,0.0471744537353515
decay_hl7,7,0.4616383348072053,0.1497470309946192,0.5226006051487762,3000,21000,0.049462080001831
expanding,8,0.5262202768017261,0.1694517145539839,0.4087631760156992,3000,24000,0.066807746887207
rolling_1,8,0.7562675484293113,0.2053404748880307,0.3652902784016857,3000,3000,0.0077097415924072
rolling_3,8,0.5626881787505126,0.1779426354783156,0.4002002574642183,3000,9000,0.0326678752899169
rolling_7,8,0.5606360938402303,0.180204962615524,0.3788297866806422,3000,21000,0.060535192489624
rolling_14,8,0.5262202768017261,0.1694517145539839,0.4087631760156992,3000,24000,0.0667057037353515
decay_hl1,8,0.4747384445550459,0.1541783845799431,0.4190130915654753,3000,24000,0.0422835350036621
decay_hl3,8,0.4955235761999317,0.1621801066825677,0.4064164295167831,3000,24000,0.0518794059753418
